2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
12389,Long Plain (Snowy Monaro Regional - NSW),0.0,Y,Y,Y,Y
12426,Lucas Heights,4.0,Y,Y,Y,Y
12445,Macquarie Marshes,0.0,Y,Y,Y,Y
12447,Macquarie Pass,0.0,Y,Y,Y,Y
12500,Mares Run,0.0,Y,Y,Y,Y
12545,Mayfield North,0.0,Y,Y,Y,Y
12561,Mebbin,0.0,Y,Y,Y,Y
12588,Mernot,0.0,Y,Y,Y,Y
12602,Meryla,9.0,Y,Y,Y,Y
12674,Mogood,21.0,Y,Y,Y,N
12686,Mondayong,9.0,Y,Y,Y,Y
12700,Moogem,0.0,Y,Y,Y,Y
12704,Moollattoo,0.0,Y,Y,Y,Y
12713,Moonee,0.0,Y,Y,Y,Y
12719,Moorara,0.0,Y,Y,Y,Y
12747,Morven (Glen Innes Severn - NSW),0.0,Y,Y,Y,Y
12786,Mount Lindsey,0.0,Y,Y,Y,Y
12788,Mount Marsh,0.0,Y,Y,Y,Y
12828,Muli Muli,90.0,Y,Y,Y,N
12845,Mumbulla Mountain,0.0,Y,Y,Y,Y
12853,Munghorn,0.0,Y,Y,Y,Y
12855,Mungo,0.0,Y,Y,Y,Y
12856,Mungo Brush,0.0,Y,Y,Y,Y
12864,Murray Gorge,0.0,Y,Y,Y,Y
12867,Murrengenburg,0.0,Y,Y,Y,Y
12868,Murrin Bridge,57.0,Y,Y,Y,Y
12883,Myall Lake,0.0,Y,Y,Y,Y
12895,Myuna Bay,0.0,Y,Y,Y,Y
12897,Nadgee,0.0,Y,Y,Y,Y
12944,Never Never,0.0,Y,Y,Y,Y
12964,Newnes Plateau,0.0,Y,Y,Y,Y
12973,Nightcap,0.0,Y,Y,Y,Y
12996,North Brother,0.0,Y,Y,Y,Y
13055,Nungatta,4.0,Y,Y,Y,Y
13056,Nungatta South,0.0,Y,Y,Y,Y
13057,Nurenmerenmong,10.0,Y,Y,Y,Y
13094,Olney,0.0,Y,Y,Y,Y
13095,Omadale,0.0,Y,Y,Y,Y
13138,Palerang,0.0,Y,Y,Y,Y
13184,Pebbly Beach,0.0,Y,Y,Y,Y
13199,Perisher Valley,99.0,Y,Y,Y,Y
13218,Pilot Wilderness,0.0,Y,Y,Y,Y
13220,Pimlico Island,0.0,Y,Y,Y,Y
13221,Pinbeyan,0.0,Y,Y,Y,Y
13234,Pinny Beach,0.0,Y,Y,Y,Y
13246,Point Wolstoncroft,0.0,Y,Y,Y,Y
13250,Polo Flat,13.0,Y,Y,Y,N
13255,Port Botany,0.0,Y,Y,Y,Y
13259,Port Stephens,0.0,Y,Y,Y,Y
13260,Porters Creek,0.0,Y,Y,Y,Y
13274,Pretty Beach (Shoalhaven - NSW),0.0,Y,Y,Y,Y
13279,Providence Portal,6.0,Y,Y,Y,Y
